type,address,symbol,comment,category,disposition,dashboard_id,match,match_note,m2v_twin,ladder_page
Y,Y014,WAB.M,WORK AIR BLAST,FIELD_OUTPUT,field-wired — must land on Mesa or be consciously dropped,NET_AIR_BLAST_1,direct,,,11
Y,Y015,WAB2.M,WORK AIR BLAST 2,FIELD_OUTPUT,field-wired — must land on Mesa or be consciously dropped,NET_AIR_BLAST_2,direct,,,11
Y,Y016,TAPC.M,TAP COOLANT,FIELD_OUTPUT,field-wired — must land on Mesa or be consciously dropped,NET_TAP_COOLANT,direct,SOL-61,,11
Y,Y018,SAB.M,SPINDLE AIR BLAST,FIELD_OUTPUT,field-wired — must land on Mesa or be consciously dropped,AIR_BLAST,partial,spindle air blast — verify SOL-62 is this device,,11
Y,Y019,AUT.MV,AUTO MODE MC. (M2V),NC_PANEL_INTERFACE,PLC->NC/M2V panel handshake — obsolete with M-2; LinuxCNC provides natively,,,,Y070,11
Y,Y01A,PUCCDV,PALLET UNCLAMP COMMAND (M2V),OPTION_VERIFY,Pallet changer — 2PC option — verify fitted on SN 060231,,,,,11
Y,Y01B,FHD.PBV,FEED HOLD PB. (M2V),PANEL_BUTTON,operator panel pushbutton — LinuxCNC UI / pendant candidate,,,,,11
Y,Y01C,CSTL.MV,CYCLE START LED (M2V),NC_PANEL_INTERFACE,PLC->NC/M2V panel handshake — obsolete with M-2; LinuxCNC provides natively,,,,Y073,11
Y,Y01D,CST.PBV,CYCLE START PB. (M2V),PANEL_BUTTON,operator panel pushbutton — LinuxCNC UI / pendant candidate,,,,,11
Y,Y01E,PCLCDV,PALLET CLAMP COMMAND (M2V),OPTION_VERIFY,Pallet changer — 2PC option — verify fitted on SN 060231,,,,,12
Y,Y01F,MRDY.MV,MACHINE READY (M2V),NC_PANEL_INTERFACE,PLC->NC/M2V panel handshake — obsolete with M-2; LinuxCNC provides natively,,,,Y078,12
Y,Y020,PWI.MV,POWER ON (M2V),NC_PANEL_INTERFACE,PLC->NC/M2V panel handshake — obsolete with M-2; LinuxCNC provides natively,,,,Y090,12
Y,Y021,OTR.MV,OT REVERSE (M2V),FIELD_OUTPUT,field-wired — must land on Mesa or be consciously dropped,,,,Y091,12
Y,Y022,SSET.M,SPINDLE SET (M2V),FIELD_OUTPUT,field-wired — must land on Mesa or be consciously dropped,,,,Y092,12
Y,Y023,M45T.M,M45 OUTPUT,FIELD_OUTPUT,field-wired — must land on Mesa or be consciously dropped,,,,,12
Y,Y024,M44T.M,M44 OUTPUT,FIELD_OUTPUT,field-wired — must land on Mesa or be consciously dropped,,,,,12
Y,Y025,M43T.M,M43 OUTPUT,FIELD_OUTPUT,field-wired — must land on Mesa or be consciously dropped,,,,,12
Y,Y026,MGC.M,MAGAZINE COVER CLOSE,FIELD_OUTPUT,field-wired — must land on Mesa or be consciously dropped,NET_MAG_COVER_CLOSE,direct,,,12
Y,Y027,WL.M,WORK LIGHT,FIELD_OUTPUT,field-wired — must land on Mesa or be consciously dropped,NET_WORK_LIGHT,direct,,,12
Y,Y028,RST1.M,RESET OUT (M2V),NC_PANEL_INTERFACE,PLC->NC/M2V panel handshake — obsolete with M-2; LinuxCNC provides natively,,,,Y079,12
Y,Y029,CYFIN.MV,CYCLE FINISH LIGHT (M2V),NC_PANEL_INTERFACE,PLC->NC/M2V panel handshake — obsolete with M-2; LinuxCNC provides natively,,,,Y07E,12
Y,Y02D,ZPX.MV,X ZERO POSITION (M2V),NC_PANEL_INTERFACE,PLC->NC/M2V panel handshake — obsolete with M-2; LinuxCNC provides natively,,,,Y080,12
Y,Y02E,ZPY.MV,Y ZERO POSITION (M2V),NC_PANEL_INTERFACE,PLC->NC/M2V panel handshake — obsolete with M-2; LinuxCNC provides natively,,,,Y081,12
Y,Y02F,ZPZ.MV,Z ZERO POSITION (M2V),NC_PANEL_INTERFACE,PLC->NC/M2V panel handshake — obsolete with M-2; LinuxCNC provides natively,,,,Y082,12
Y,Y032,,[ILLEGIBLE],UNKNOWN,illegible in source — re-read ladder.pdf page 12,,,,,12
Y,Y033,ARET.M,MEASURING ARM RETRACT,OPTION_VERIFY,Measuring arm — tool-length measuring arm — verify fitted,,,,,12
Y,Y034,AEXT.M,MEASURING ARM EXTEND,OPTION_VERIFY,Measuring arm — tool-length measuring arm — verify fitted,,,,,12
Y,Y035,A-JET.M,AIR JET,FIELD_OUTPUT,field-wired — must land on Mesa or be consciously dropped,TOUCH_SENSOR_BLAST,partial,A-JET for MMS touch sensor — verify SOL-35,,12
Y,Y036,MMSCMD.M,MMS COMMAND (MMS UNIT ON),OPTION_VERIFY,MMS probe — Renishaw MP-3 measuring system — parts list says fitted,,,,,12
Y,Y037,ZP4.MV,4 ZERO POSITION (M2V),OPTION_VERIFY,4th-axis rotary table option — verify fitted,,,,,13
Y,Y038,MFA.MV,MHO M FUNCTION (M2V),NC_PANEL_INTERFACE,PLC->NC/M2V panel handshake — obsolete with M-2; LinuxCNC provides natively,,,,Y084,13
Y,Y039,FHDL.MV,FEED HOLD LED (M2V),NC_PANEL_INTERFACE,PLC->NC/M2V panel handshake — obsolete with M-2; LinuxCNC provides natively,,,,Y085,13
Y,Y03A,ZP2Z.MV,Z ZERO POSITION 2nd (M2V),NC_PANEL_INTERFACE,PLC->NC/M2V panel handshake — obsolete with M-2; LinuxCNC provides natively,,,,Y086,13
Y,Y03B,ORCM1.MV,SPINDLE ORIENT COMMAND,FIELD_OUTPUT,field-wired — must land on Mesa or be consciously dropped,,,,Y093,13
Y,Y03C,CTL.MV,LOW GEAR ORIENT (M2V),FIELD_OUTPUT,field-wired — must land on Mesa or be consciously dropped,,,,Y094,13
Y,Y03D,TCME.MV,BARRIER EXPEND at ATC ARE (M2V),FIELD_OUTPUT,field-wired — must land on Mesa or be consciously dropped,,,,Y095,13
Y,Y03E,AL77.78,ALARM 77 & 78,FIELD_OUTPUT,field-wired — must land on Mesa or be consciously dropped,,,,,13
Y,Y03F,MMAL1.M,MACHINE MALFUNCTION 1,FIELD_OUTPUT,field-wired — must land on Mesa or be consciously dropped,ALARM_OUT,partial,machine malfunction 1,,13
Y,Y040,HYD.MV,HYDRAULIC/HEAD LUBE PUMP (M2V),FIELD_OUTPUT,field-wired — must land on Mesa or be consciously dropped,,,,Y096,13
Y,Y041,TUC.MV,TOOL UNCLAMP (M2V),FIELD_OUTPUT,field-wired — must land on Mesa or be consciously dropped,TOOL_UNCLAMP_SOL,direct,SOL-10,Y097,13
Y,Y042,SA.MV,SERVO READY (M2V),NC_PANEL_INTERFACE,PLC->NC/M2V panel handshake — obsolete with M-2; LinuxCNC provides natively,,,,Y098,13
Y,Y043,MF.MV,M FUNCTION (M2V),NC_PANEL_INTERFACE,PLC->NC/M2V panel handshake — obsolete with M-2; LinuxCNC provides natively,,,,Y09D,13
Y,Y044,M11.M,M BCD 11,NC_PANEL_INTERFACE,PLC->NC/M2V panel handshake — obsolete with M-2; LinuxCNC provides natively,,,,,13
Y,Y045,M12.M,M BCD 12,NC_PANEL_INTERFACE,PLC->NC/M2V panel handshake — obsolete with M-2; LinuxCNC provides natively,,,,,13
Y,Y046,M14.M,M BCD 14,NC_PANEL_INTERFACE,PLC->NC/M2V panel handshake — obsolete with M-2; LinuxCNC provides natively,,,,,13
Y,Y047,M18.M,M BCD 18,NC_PANEL_INTERFACE,PLC->NC/M2V panel handshake — obsolete with M-2; LinuxCNC provides natively,,,,,13
Y,Y048,M21.M,M BCD 21,NC_PANEL_INTERFACE,PLC->NC/M2V panel handshake — obsolete with M-2; LinuxCNC provides natively,,,,,13
Y,Y049,M22.M,M BCD 22,NC_PANEL_INTERFACE,PLC->NC/M2V panel handshake — obsolete with M-2; LinuxCNC provides natively,,,,,13
Y,Y04A,M24.M,M BCD 24,NC_PANEL_INTERFACE,PLC->NC/M2V panel handshake — obsolete with M-2; LinuxCNC provides natively,,,,,13
Y,Y04B,M28.M,M BCD 28,NC_PANEL_INTERFACE,PLC->NC/M2V panel handshake — obsolete with M-2; LinuxCNC provides natively,,,,,14
Y,Y04C,M31.M,M BCD 31,NC_PANEL_INTERFACE,PLC->NC/M2V panel handshake — obsolete with M-2; LinuxCNC provides natively,,,,,14
Y,Y04D,M32.M,M BCD 32,NC_PANEL_INTERFACE,PLC->NC/M2V panel handshake — obsolete with M-2; LinuxCNC provides natively,,,,,14
Y,Y04E,M34.M,M BCD 34,NC_PANEL_INTERFACE,PLC->NC/M2V panel handshake — obsolete with M-2; LinuxCNC provides natively,,,,,14
Y,Y04F,M38.M,M BCD 38,NC_PANEL_INTERFACE,PLC->NC/M2V panel handshake — obsolete with M-2; LinuxCNC provides natively,,,,,14
Y,Y070,AUT.M,AUTO MODE MC.,NC_PANEL_INTERFACE,PLC->NC/M2V panel handshake — obsolete with M-2; LinuxCNC provides natively,,,,Y019,14
Y,Y071,PUCCD,PALLET UNCLAMP COMMAND,OPTION_VERIFY,Pallet changer — 2PC option — verify fitted on SN 060231,,,,,14
Y,Y072,FHD.PB,FEED HOLD PB.,PANEL_BUTTON,operator panel pushbutton — LinuxCNC UI / pendant candidate,,,,,14
Y,Y073,CSTL.M,CYCLE START LED,NC_PANEL_INTERFACE,PLC->NC/M2V panel handshake — obsolete with M-2; LinuxCNC provides natively,,,,Y01C,14
Y,Y074,CST.PB,CYCLE START PB.,PANEL_BUTTON,operator panel pushbutton — LinuxCNC UI / pendant candidate,,,,,14
Y,Y075,PCLCD,PALLET CLAMP COMMAND,OPTION_VERIFY,Pallet changer — 2PC option — verify fitted on SN 060231,,,,,14
Y,Y076,MMAL.M,MACHINE MALFUNCTION,FIELD_OUTPUT,field-wired — must land on Mesa or be consciously dropped,ALARM_OUT,partial,machine malfunction (non-M2V dup),,14
Y,Y078,MRDY.M,MACHINE READY,NC_PANEL_INTERFACE,PLC->NC/M2V panel handshake — obsolete with M-2; LinuxCNC provides natively,,,,Y01F,14
Y,Y079,RST1.M,RESET OUT,NC_PANEL_INTERFACE,PLC->NC/M2V panel handshake — obsolete with M-2; LinuxCNC provides natively,,,,Y028,14
Y,Y07E,CYFIN.M,CYCLE FINISH LIGHT,NC_PANEL_INTERFACE,PLC->NC/M2V panel handshake — obsolete with M-2; LinuxCNC provides natively,,,,Y029,14
Y,Y080,ZPX.M,X ZERO POSITION,NC_PANEL_INTERFACE,PLC->NC/M2V panel handshake — obsolete with M-2; LinuxCNC provides natively,,,,Y02D,14
Y,Y081,ZPY.M,Y ZERO POSITION,NC_PANEL_INTERFACE,PLC->NC/M2V panel handshake — obsolete with M-2; LinuxCNC provides natively,,,,Y02E,14
Y,Y082,ZPZ.M,Z ZERO POSITION,NC_PANEL_INTERFACE,PLC->NC/M2V panel handshake — obsolete with M-2; LinuxCNC provides natively,,,,Y02F,14
Y,Y083,ZP4.M,4 ZERO POSITION,OPTION_VERIFY,4th-axis rotary table option — verify fitted,,,,,14
Y,Y084,MFA.M,MHO M FUNCTION,NC_PANEL_INTERFACE,PLC->NC/M2V panel handshake — obsolete with M-2; LinuxCNC provides natively,,,,Y038,14
Y,Y085,FHDL.M,FEED HOLD LED,NC_PANEL_INTERFACE,PLC->NC/M2V panel handshake — obsolete with M-2; LinuxCNC provides natively,,,,Y039,15
Y,Y086,ZP2Z.M,Z ZERO POSITION 2nd,NC_PANEL_INTERFACE,PLC->NC/M2V panel handshake — obsolete with M-2; LinuxCNC provides natively,,,,Y03A,15
Y,Y090,PWI.M,POWER ON,NC_PANEL_INTERFACE,PLC->NC/M2V panel handshake — obsolete with M-2; LinuxCNC provides natively,,,,Y020,15
Y,Y091,OTR.M,OT REVERSE,FIELD_OUTPUT,field-wired — must land on Mesa or be consciously dropped,,,,Y021,15
Y,Y092,SSET.M,SPINDLE SET,FIELD_OUTPUT,field-wired — must land on Mesa or be consciously dropped,,,,Y022,15
Y,Y093,ORCM1.M,SPINDLE ORIENT COMMAND,FIELD_OUTPUT,field-wired — must land on Mesa or be consciously dropped,,,,Y03B,15
Y,Y094,CTL.M,LOW GEAR ORIENT,FIELD_OUTPUT,field-wired — must land on Mesa or be consciously dropped,,,,Y03C,15
Y,Y095,TCME.M,BARRIER EXPEND at ATC ARE,FIELD_OUTPUT,field-wired — must land on Mesa or be consciously dropped,,,,Y03D,15
Y,Y096,HYD.M,HYDRAULIC PUMP&HEAD LUBE PUMP,FIELD_OUTPUT,field-wired — must land on Mesa or be consciously dropped,,,,Y040,15
Y,Y097,TUC.M,TOOL UNCLAMP,FIELD_OUTPUT,field-wired — must land on Mesa or be consciously dropped,TOOL_UNCLAMP_SOL,direct,SOL-10 (non-M2V dup),Y041,15
Y,Y098,SA.M,SERVO READY,NC_PANEL_INTERFACE,PLC->NC/M2V panel handshake — obsolete with M-2; LinuxCNC provides natively,,,,Y042,15
Y,Y09D,MF.M,M FUNCTION,NC_PANEL_INTERFACE,PLC->NC/M2V panel handshake — obsolete with M-2; LinuxCNC provides natively,,,,Y043,15
Y,Y100,ITX.N,X AXIS INTERLOCK N/C,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,15
Y,Y101,ITY.N,Y AXIS INTERLOCK N/C,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,15
Y,Y102,ITZ.N,Z AXIS INTERLOCK N/C,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,15
Y,Y103,IT4.N,4th AXIS INTERLOCK N/C,OPTION_VERIFY,4th-axis rotary table option — verify fitted,,,,,15
Y,Y108,SVFX.N,X AXIS SERVO OFF N/C,OPTION_VERIFY,External interlock/servo-off — external axis interlock/servo-off cmds — LinuxCNC handles internally,,,,,15
Y,Y109,SVFY.N,Y AXIS SERVO OFF N/C,OPTION_VERIFY,External interlock/servo-off — external axis interlock/servo-off cmds — LinuxCNC handles internally,,,,,15
Y,Y10A,SVFZ.N,Z AXIS SERVO OFF N/C,OPTION_VERIFY,External interlock/servo-off — external axis interlock/servo-off cmds — LinuxCNC handles internally,,,,,15
Y,Y10B,SVF4.N,4th AXIS SERVO OFF N/C,OPTION_VERIFY,External interlock/servo-off — external axis interlock/servo-off cmds — LinuxCNC handles internally,,,,,15
Y,Y111,PEND.N,PROGRAM END,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,16
Y,Y112,PERDY.N,PROGRAM END READY,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,16
Y,Y113,FSTL.N,FMS CYCLE START,OPTION_VERIFY,"FMS interface — FMS/cell controller link — not fitted, drop",,,,,16
Y,Y116,AIZP.N,ALL AXIS ZERO POSITION,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,16
Y,Y117,MCRDY.N,MACHINE READY,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,16
Y,Y119,WFL.N,W FAIL,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,16
Y,Y11B,MFL.N,MACHINE FAIL,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,16
Y,Y11E,PL2.N,PALLET 2 EXIST,OPTION_VERIFY,Pallet changer — 2PC option — verify fitted on SN 060231,,,,,16
Y,Y11F,PL1.N,PALLET 1 EXIST,OPTION_VERIFY,Pallet changer — 2PC option — verify fitted on SN 060231,,,,,16
Y,Y120,GSH.N,GEAR HIGH SIGNAL N/C,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,16
Y,Y121,GSL.N,GEAR LOW SIGNAL N/C,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,16
Y,Y124,GSF.N,[ILLEGIBLE],NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,16
Y,Y128,PCDS1.N,DATA STATES AXIS MOVE1 NC,OPTION_VERIFY,Pallet changer — 2PC option — verify fitted on SN 060231,,,,,16
Y,Y129,PCDS2.N,DATA STATES AXIS MOVE2 NC,OPTION_VERIFY,Pallet changer — 2PC option — verify fitted on SN 060231,,,,,16
Y,Y12E,PCMCD.N,PALLET CHANGE M CODE COMMAND,OPTION_VERIFY,Pallet changer — 2PC option — verify fitted on SN 060231,,,,,16
Y,Y12F,PCFIN.N,PALLET CHANGE CYCLE FIN,OPTION_VERIFY,Pallet changer — 2PC option — verify fitted on SN 060231,,,,,16
Y,Y140,SBK.N,SINGLE BLOCK NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,16
Y,Y141,MLK.N,MACHINE LOCK NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,16
Y,Y142,DRN.N,DRY RUN NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,16
Y,Y143,EREND.N,ERROR DETECT ON NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,16
Y,Y144,MIRRORX,X AXIS MIRROR IMAGE ON,OPTION_VERIFY,NC feature — M-2 NC feature — LinuxCNC native or obsolete,,,,,17
Y,Y145,MIRRORY,Y AXIS MIRROR IMAGE ON,OPTION_VERIFY,NC feature — M-2 NC feature — LinuxCNC native or obsolete,,,,,17
Y,Y147,PCDSFN.N,PC DATA STATES FIN NC,OPTION_VERIFY,Pallet changer — 2PC option — verify fitted on SN 060231,,,,,17
Y,Y150,MEND1.L,MENUE DATA 1 LAMP NC,PANEL_LAMP,panel lamp — LinuxCNC UI candidate,,,,,17
Y,Y151,MEND2.L,MENUE DATA 2 LAMP NC,PANEL_LAMP,panel lamp — LinuxCNC UI candidate,,,,,17
Y,Y152,MEND3.L,MENUE DATA 3 LAMP NC,PANEL_LAMP,panel lamp — LinuxCNC UI candidate,,,,,17
Y,Y153,MEND4.L,MENUE DATA 4 LAMP NC,PANEL_LAMP,panel lamp — LinuxCNC UI candidate,,,,,17
Y,Y154,MEND5.L,MENUE DATA 5 LAMP,PANEL_LAMP,panel lamp — LinuxCNC UI candidate,,,,,17
Y,Y155,MEND6.L,MENUE DATA 6 LAMP,PANEL_LAMP,panel lamp — LinuxCNC UI candidate,,,,,17
Y,Y156,MEND7.L,MENUE DATA 7 LAMP,PANEL_LAMP,panel lamp — LinuxCNC UI candidate,,,,,17
Y,Y157,MEND8.L,MENUE DATA 8 LAMP,PANEL_LAMP,panel lamp — LinuxCNC UI candidate,,,,,17
Y,Y158,MEND9.L,MENUE DATA 9 LAMP,PANEL_LAMP,panel lamp — LinuxCNC UI candidate,,,,,17
Y,Y168,FIN.N,FIN SIGNAL NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,17
Y,Y169,ERS.N,EXTERNAL RESET NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,17
Y,Y16A,OTNEG.N,SOFT OT NEGLECT NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,17
Y,Y16B,ZPDEC.N,ZERO POSITION RETURN DEC. NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,17
Y,Y16C,AEXT.N,MEASURING ARM EXTEND NC,OPTION_VERIFY,Measuring arm — tool-length measuring arm — verify fitted,,,,,17
Y,Y16D,TBRCD.N,TOOL BREAKAGE COMMAND NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,17
Y,Y16E,TBRFIN.N,TOOL BREAKAGE FIN,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,17
Y,Y16F,MMSCD.N,MMS COMMAND NC,OPTION_VERIFY,MMS probe — Renishaw MP-3 measuring system — parts list says fitted,,,,,17
Y,Y180,RST.B.N,RESET SIGNAL B TO NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,18
Y,Y181,SOVRU.N,SPINDLE OVERRIDE UP NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,18
Y,Y182,SOVRD.N,SPINDLE OVERRIDE DOWN NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,18
Y,Y183,FOVRU.N,F. RATE OVERRIDE UP NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,18
Y,Y184,FOVRD.N,F. RATE OVERRIDE DOWN NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,18
Y,Y185,OTR.N,OT RELEASE TO NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,18
Y,Y188,+X.N,+X DIRECTION COMMAND NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,18
Y,Y189,-X.N,-X DIRECTION COMMAND NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,18
Y,Y18A,+Y.N,+Y DIRECTION COMMAND NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,18
Y,Y18B,-Y.N,-Y DIRECTION COMMAND NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,18
Y,Y18C,+Z.N,+Z DIRECTION COMMAND NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,18
Y,Y18D,-Z.N,-Z DIRECTION COMMAND NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,18
Y,Y18E,+4.N,+4 DIRECTION COMMAND NC,OPTION_VERIFY,4th-axis rotary table option — verify fitted,,,,,18
Y,Y18F,-4.N,-4 DIRECTION COMMAND NC,OPTION_VERIFY,4th-axis rotary table option — verify fitted,,,,,18
Y,Y190,AUT.B.N,AUTO MODE NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,18
Y,Y191,MDI.B.N,MDI MODE NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,18
Y,Y192,RT.B.N,RAPID TRAVERSE NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,18
Y,Y193,J.B.N,[ILLEGIBLE],NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,18
Y,Y194,ZP1.B.N,REFELENCE 1 POINT CMD.,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,18
Y,Y195,ZP2.B.N,REFELENCE 2 POINT CMD.,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,18
Y,Y196,HS1.B.N,HAND PULSE X1 NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,19
Y,Y197,HS10.B.N,HAND PULSE X10 NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,19
Y,Y198,ST.B.N,CYCLE START NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,19
Y,Y199,SP.B.N,FEED HOLD NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,19
Y,Y19A,ZP.B.N,REF. 1 RETURN ALL AXIS,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,19
Y,Y19B,TPS.N,TOOL PASS MODE NC,OPTION_VERIFY,NC feature — M-2 NC feature — LinuxCNC native or obsolete,,,,,19
Y,Y19C,VFC.N,VELOCITY FEED RATE CONTROL NC,OPTION_VERIFY,NC feature — M-2 NC feature — LinuxCNC native or obsolete,,,,,19
Y,Y19E,RDEC.B.N,RAPID DECELERATION NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,19
Y,Y1A8,ATCSP.N,ATC STOP TO NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,19
Y,Y1A9,CL.B.N,COOLANT BUTTON TO NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,19
Y,Y1AB,F2.B.N,FUNCTION KEY 2 TO NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,19
Y,Y1AC,F3.B.N,FUNCTION KEY 3 TO NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,19
Y,Y1B0,HX.B.N,HANDLE X SELECT NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,19
Y,Y1B1,HY.B.N,HANDLE Y SELECT NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,19
Y,Y1B2,HZ.B.N,HANDLE Z SELECT NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,19
Y,Y1B3,H4.B.N,HANDLE 4 SELECT NC,OPTION_VERIFY,4th-axis rotary table option — verify fitted,,,,,19
Y,Y1B7,PRG.N,PROGRAM END NC,NC_INTERNAL,M-2 NC<->PLC handshake — function provided natively by LinuxCNC,,,,,19
Y,Y1C0,AUT.L,AUTO MODE LAMP,NC_PANEL_INTERFACE,PLC->NC/M2V panel handshake — obsolete with M-2; LinuxCNC provides natively,,,,,19
Y,Y1C1,MDI.L,MDI MODE LAMP,PANEL_LAMP,panel lamp — LinuxCNC UI candidate,,,,,19
Y,Y1C2,RT.L,RAPID TRAVERSE LAMP,PANEL_LAMP,panel lamp — LinuxCNC UI candidate,,,,,19
Y,Y1C3,J.L,JOG LAMP,PANEL_LAMP,panel lamp — LinuxCNC UI candidate,,,,,20
Y,Y1C4,ZP1.L,ZERO POSITION 1 LAMP,PANEL_LAMP,panel lamp — LinuxCNC UI candidate,,,,,20
Y,Y1C5,ZP2.L,ZERO POSITION 2 LAMP,PANEL_LAMP,panel lamp — LinuxCNC UI candidate,,,,,20
Y,Y1C6,HS1.L,HAND PULSE 1 LAMP,PANEL_LAMP,panel lamp — LinuxCNC UI candidate,,,,,20
Y,Y1C7,HS10.L,HAND PULSE 10 LAMP,PANEL_LAMP,panel lamp — LinuxCNC UI candidate,,,,,20
Y,Y1C8,ST.L,CYCLE START LAMP,PANEL_LAMP,panel lamp — LinuxCNC UI candidate,,,,,20
Y,Y1C9,SP.L,FEED HOLD LAMP,PANEL_LAMP,panel lamp — LinuxCNC UI candidate,,,,,20
Y,Y1CA,ZP.L,ALL AXIS ZERO RETURN LAMP,PANEL_LAMP,panel lamp — LinuxCNC UI candidate,,,,,20
Y,Y1CE,RDEC.L,RAPID DECELERATION LAMP,PANEL_LAMP,panel lamp — LinuxCNC UI candidate,,,,,20
Y,Y1D0,SST.L,SPINDLE START LAMP,PANEL_LAMP,panel lamp — LinuxCNC UI candidate,,,,,20
Y,Y1D1,SSP.L,SPINDLE STOP LAMP,PANEL_LAMP,panel lamp — LinuxCNC UI candidate,,,,,20
Y,Y1D2,SJOG.L,SPINDLE JOG LAMP,PANEL_LAMP,panel lamp — LinuxCNC UI candidate,,,,,20
Y,Y1D3,SREV.L,SPINDLE REVERSE LAMP,PANEL_LAMP,panel lamp — LinuxCNC UI candidate,,,,,20
Y,Y1D4,SLCK.L,SPINDLE LOCK LAMP,PANEL_LAMP,panel lamp — LinuxCNC UI candidate,,,,,20
Y,Y1D5,TUC.L,TOOL UNCLAMP LAMP,PANEL_LAMP,panel lamp — LinuxCNC UI candidate,,,,,20
Y,Y1D8,ATCSP.L,ATC STOP LAMP,PANEL_LAMP,panel lamp — LinuxCNC UI candidate,,,,,20
Y,Y1D9,CL.L,COOLANT LAMP,PANEL_LAMP,panel lamp — LinuxCNC UI candidate,,,,,20
